article_id	correction_type	correction_note	llm_corrections	replacement_field	replaced_string	replacement_string
The-Times_2023-11-27_Climate-activists-glue-50	llm	balance	"The original article ends with three sentences of a statement by Barclays bank defending themselves from the protesters' accusations. None of this material is included in the summary, which means that the overall balance has shifted from the original to be more sympathetic to the protesters in the summary. This must be fixed by including at least some summarised material from the Barclays statement."			
The-Times_2024-07-27_Mum-got-four-years	llm	balance	"The summary alters the tone and balance of the original article. The original article presents a sympathetic, humanizing portrait of Louise Lancaster through extensive quotes from her family members who describe her as ""unrelentingly kind,"" and as someone who ""listens more than she speaks"" and who struggled with the decision to inconvenience people. The family's perspective dominates the original, explaining her careful reasoning process, her previous attempts at conventional activism, and the personal costs she has endured. In contrast, the summary strips away almost all of this humanizing context and family perspective, instead leading with and emphasizing the judge's characterization of Lancaster and others as having ""crossed the line from concerned campaigner to fanatic."" The summary focuses primarily on the disruption caused and the legal proceedings, while relegating the family's supportive view to just a brief mention in the subtitle. The key aspects of the protest itself must be covered, but not at the expense of losing changing the article's tone which is sympathetic, family-focused, and includes the personal story of why Lancaster felt compelled to act."			
Daily-Mail_2024-02-14_BBCs-Chris-Packham	replacement	format (typo)		caption1	"Police, Crime , Sentencing and Courts Act 2022"	"Police, Crime, Sentencing and Courts Act 2022"
Sun_2024-07-19_JUST-APPALLING-I-went	llm	balance	"The summary alters the tone and balance of the original article. The original maintains a strong negative portrayal of the protesters throughout, describing them as ""eco zealots,"" a ""cult,"" and ""fanatics,"" with extensive coverage of the journalist's undercover operation, court proceedings, and vindication of The Sun's reporting. The summary removes most of this critical framing, including the cult-like characterization, the judge's condemnation of the protesters as ""fanatics,"" and The Sun's celebration of their role in stopping the protest. The key aspects of the protest itself must be covered, but not at the expense of losing the original's strongly negative editorial stance against the protesters."			
BBC_2024-08-15_Activists-plead-not-guilty	replacement	format (link material)		text	"\nFollow Essex news on BBC Sounds, Facebook, Instagram and X."	[DELETE]
BBC_None_More-arrests-after-protest	replacement	format (link material)		text	"\nFollow BBC Nottingham on Facebook, on X, or on Instagram. Send your story ideas to eastmidsnews@bbc.co.uk or via WhatsApp on 0808 100 2210."	[DELETE]
Daily-Mail_2023-10-17_Greta-Thunberg-20	llm	balance	"For balance, the spokesperson for the Energy Intelligence Forum needs to be given a very short quote at the end to highlight positive aspects of the Forum. The one saying The Energy Intelligence Forum is a 'platform for fostering debate...and finding answers to the big questions facing the energy industry' is required."			
ITV_2024-06-22_Just-Stop-Oil	replacement	format (photo credit)		caption0	 Credit: ITV News Anglia	[DELETE]
ITV_2024-06-22_Just-Stop-Oil	replacement	format (link material)		text	\nWant a quick and expert briefing on the biggest news stories? Listen to our latest podcasts to find out What You Need To Know	[DELETE]
The-Guardian_2023-12-04_Police-make-630	replacement	format (photo credit)		caption0	. Photograph: Yui Mok/PA	[DELETE]
